Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,40,80,0.783438,33
2,34,62,0.754094,48
3,148,160,0.609669,33
4,22,130,0.604499,26
5,16,88,0.575702,38
6,72,76,0.534523,73
7,136,178,0.511826,19
8,40,92,0.505174,27
9,56,100,0.481867,29
10,38,178,0.450647,20
11,84,208,0.397482,15
12,54,254,0.395716,10
13,26,212,0.38789,20
14,18,172,0.384002,26
15,44,50,0.377637,88
16,128,198,0.328086,15
17,46,128,0.319355,25
18,80,92,0.301387,45
19,112,222,0.2856,15
20,52,214,0.256036,18
21,116,146,0.252244,27
22,92,114,0.225733,33
23,30,288,0.221574,12
24,138,140,0.201719,83
25,22,52,0.194942,54
26,16,254,0.187481,22
27,166,174,0.182323,35
28,66,174,0.137895,19
29,144,238,0.130476,13
30,66,122,0.128022,25
31,168,202,0.109855,19
32,118,124,0.077602,54
33,104,162,0.075367,19
34,18,36,0.02306,82
35,228,276,0.013807,12
36,268,270,0.011987,42
37,16,20,0.000231,194
38,196,198,-0.003262,68
39,110,128,-0.01698,36
40,212,238,-0.027666,16
41,80,144,-0.037713,23
42,190,202,-0.044217,29
43,264,282,-0.048763,18
44,18,26,-0.076182,124
45,166,248,-0.180349,13
46,196,268,-0.241817,12
47,186,230,-0.248292,17
48,240,258,-0.399571,20
