Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,56,82,445408.375,12.142930066360387,0.8561723826773652,23,
In-Sample,Medoid 1,40,80,328605.375,12.142930066360387,0.783438,33,
In-Sample,Medoid 2,34,62,337462.125,12.142930066360387,0.754094,48,
In-Sample,Medoid 3,148,160,316343.375,12.142930066360387,0.609669,33,
In-Sample,Medoid 4,22,130,262600.875,12.142930066360387,0.604499,26,
In-Sample,Medoid 5,16,88,245731.625,12.142930066360387,0.575702,38,
Out-of-Sample,Best,56,82,-26846.5,9.634858812074002,-0.0960240543069527,12,
Out-of-Sample,Medoid 1,40,80,39403.5,9.634858812074002,0.14092602388173958,12,
Out-of-Sample,Medoid 2,34,62,43777.25,9.634858812074002,0.15654659986580094,16,
Out-of-Sample,Medoid 3,148,160,67737.5,9.634858812074002,0.24225953079609147,14,
Out-of-Sample,Medoid 4,22,130,31405.5,9.634858812074002,0.11230857263633627,10,
Out-of-Sample,Medoid 5,16,88,131390.25,9.634858812074002,0.47006252864230497,12,
Full,Best,56,82,418561.875,11.28030810448761,0.5231134248766216,35,20.0
Full,Medoid 1,40,80,368008.875,11.28030810448761,0.4597939036936569,35,20.0
Full,Medoid 2,34,62,381239.375,11.28030810448761,0.4762836192603098,51,20.0
Full,Medoid 3,148,160,384080.875,11.28030810448761,0.4798552759806267,34,20.0
Full,Medoid 4,22,130,294006.375,11.28030810448761,0.36729230129858825,29,20.0
Full,Medoid 5,16,88,377121.875,11.28030810448761,0.47106499110193306,41,20.0
