Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,62,94,581161.0,5.360160965794768,1.04088199276561,26,
In-Sample,Medoid 1,54,84,521603.0,5.360160965794768,0.933867,37,
In-Sample,Medoid 2,12,80,426848.5,5.360160965794768,0.763637,42,
In-Sample,Medoid 3,58,86,402825.5,5.360160965794768,0.720391,39,
In-Sample,Medoid 4,28,106,368145.0,5.360160965794768,0.658337,30,
In-Sample,Medoid 5,64,110,330367.5,5.360160965794768,0.590764,29,
Out-of-Sample,Best,62,94,46701.75,4.596717467760844,0.19364343365738798,13,
Out-of-Sample,Medoid 1,54,84,-149889.25,4.596717467760844,-0.6218550390160452,13,
Out-of-Sample,Medoid 2,12,80,4713.75,4.596717467760844,0.01953572480874985,15,
Out-of-Sample,Medoid 3,58,86,-50639.25,4.596717467760844,-0.21001386880591272,13,
Out-of-Sample,Medoid 4,28,106,-107383.75,4.596717467760844,-0.44546840728964837,13,
Out-of-Sample,Medoid 5,64,110,40200.75,4.596717467760844,0.16670224883082294,11,
Full,Best,62,94,627862.75,5.130939809926082,0.7852122501056772,39,9.0
Full,Medoid 1,54,84,371713.75,5.130939809926082,0.46449961410744245,37,9.0
Full,Medoid 2,12,80,431562.25,5.130939809926082,0.5392491353399216,42,9.0
Full,Medoid 3,58,86,352186.25,5.130939809926082,0.4399858401372099,39,9.0
Full,Medoid 4,28,106,260761.25,5.130939809926082,0.32573569596011415,30,9.0
Full,Medoid 5,64,110,370568.25,5.130939809926082,0.46304029653667456,29,9.0
