Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,62,94,581161.0,5.360160965794768,1.04088199276561,26,
In-Sample,Medoid 1,50,78,452519.5,5.360160965794768,0.809748,40,
In-Sample,Medoid 2,58,88,413916.5,5.360160965794768,0.740519,39,
In-Sample,Medoid 3,26,98,389681.0,5.360160965794768,0.697059,34,
In-Sample,Medoid 4,22,122,349788.5,5.360160965794768,0.62549,32,
In-Sample,Medoid 5,72,100,312319.0,5.360160965794768,0.558399,37,
Out-of-Sample,Best,62,94,46701.75,4.596717467760844,0.19364343365738798,13,
Out-of-Sample,Medoid 1,50,78,-77667.75,4.596717467760844,-0.32206998839327894,13,
Out-of-Sample,Medoid 2,58,88,-12360.75,4.596717467760844,-0.051263101370606516,13,
Out-of-Sample,Medoid 3,26,98,-95321.25,4.596717467760844,-0.3953102533914521,13,
Out-of-Sample,Medoid 4,22,122,-147383.75,4.596717467760844,-0.6113197937491374,13,
Out-of-Sample,Medoid 5,72,100,79894.75,4.596717467760844,0.3313258763609974,13,
Full,Best,62,94,627862.75,5.130939809926082,0.7852122501056772,39,9.0
Full,Medoid 1,50,78,374851.75,5.130939809926082,0.4684004893956011,40,9.0
Full,Medoid 2,58,88,401555.75,5.130939809926082,0.5018520417156177,39,9.0
Full,Medoid 3,26,98,294359.75,5.130939809926082,0.3677539863522062,34,9.0
Full,Medoid 4,22,122,202404.75,5.130939809926082,0.25278927752376723,32,9.0
Full,Medoid 5,72,100,392213.75,5.130939809926082,0.4900679137068266,37,9.0
