Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,16,40,0.199684,72
2,234,250,0.16369,16
3,32,48,0.083753,54
4,16,98,0.063513,30
5,26,64,0.038669,44
6,188,278,0.020999,10
7,16,28,0.007967,99
8,38,40,-0.012998,126
9,26,40,-0.015253,68
10,198,250,-0.023246,10
11,30,106,-0.041725,24
12,224,276,-0.085772,10
13,166,280,-0.096214,10
14,22,280,-0.097249,12
15,14,156,-0.100128,32
16,30,154,-0.124005,22
17,24,32,-0.143678,92
18,46,72,-0.161253,38
19,12,70,-0.176514,54
20,18,224,-0.180803,20
21,98,116,-0.220879,30
22,200,224,-0.247262,12
23,114,116,-0.252987,61
24,52,106,-0.254452,24
25,264,286,-0.259414,12
26,110,152,-0.270162,15
27,144,222,-0.276914,10
28,128,172,-0.289462,17
29,130,144,-0.312662,25
30,42,192,-0.31759,18
31,84,138,-0.31942,15
32,40,254,-0.329967,12
33,88,182,-0.33805,15
34,116,290,-0.346998,10
35,60,150,-0.352182,19
36,52,238,-0.353153,10
37,162,164,-0.358494,41
38,172,206,-0.373259,12
39,60,208,-0.379473,16
40,52,288,-0.390186,10
41,150,256,-0.392906,10
42,110,222,-0.402758,10
43,78,102,-0.432569,30
44,108,260,-0.46143,10
45,74,276,-0.464097,10
46,142,184,-0.467124,14
47,74,240,-0.504961,10
