Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,26,473453.99999999924,7.227554179566564,0.525082458070034,77,
In-Sample,Medoid 1,16,40,190638.00000000006,7.227554179566564,0.199684,72,
In-Sample,Medoid 2,234,250,157954.00000000012,7.227554179566564,0.16369,16,
In-Sample,Medoid 3,32,48,85386.00000000009,7.227554179566564,0.083753,54,
In-Sample,Medoid 4,16,98,67005.99999999978,7.227554179566564,0.063513,30,
In-Sample,Medoid 5,26,64,44461.999999999956,7.227554179566564,0.038669,44,
Out-of-Sample,Best,20,26,-44777.999999999854,6.331103678929765,-0.13470837536302274,37,
Out-of-Sample,Medoid 1,16,40,-11366.000000000116,6.331103678929765,-0.03420940051610645,22,
Out-of-Sample,Medoid 2,234,250,178633.99999999994,6.331103678929765,0.537936425882827,2,
Out-of-Sample,Medoid 3,32,48,-216442.0000000001,6.331103678929765,-0.6513918926128824,16,
Out-of-Sample,Medoid 4,16,98,-38562.00000000003,6.331103678929765,-0.11605916893005591,12,
Out-of-Sample,Medoid 5,26,64,-62934.00000000007,6.331103678929765,-0.18944825780593477,14,
Full,Best,20,26,428675.9999999994,6.943915343915344,0.3458074952617384,114,17.0
Full,Medoid 1,16,40,179271.99999999997,6.943915343915344,0.14459598593760772,73,17.0
Full,Medoid 2,234,250,336587.99999999994,6.943915343915344,0.27152291211562474,17,17.0
Full,Medoid 3,32,48,-131055.99999999994,6.943915343915344,-0.10568857142524885,55,17.0
Full,Medoid 4,16,98,28443.99999999973,6.943915343915344,0.02294393915724178,31,17.0
Full,Medoid 5,26,64,-18472.00000000013,6.943915343915344,-0.01489765204056126,45,17.0
