Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,26,473453.99999999924,7.227554179566564,0.525082458070034,77,
In-Sample,Medoid 1,22,34,275509.99999999994,7.227554179566564,0.293155,80,
In-Sample,Medoid 2,234,250,157954.00000000012,7.227554179566564,0.16369,16,
In-Sample,Medoid 3,22,96,82298.0000000002,7.227554179566564,0.080348,26,
In-Sample,Medoid 4,26,50,59270.00000000076,7.227554179566564,0.054988,52,
In-Sample,Medoid 5,188,276,44653.99999999997,7.227554179566564,0.038888,10,
Out-of-Sample,Best,20,26,-44777.999999999854,6.331103678929765,-0.13470837536302274,37,
Out-of-Sample,Medoid 1,22,34,-51069.99999999997,6.331103678929765,-0.15363721396883556,26,
Out-of-Sample,Medoid 2,234,250,178633.99999999994,6.331103678929765,0.537936425882827,2,
Out-of-Sample,Medoid 3,22,96,15713.999999999913,6.331103678929765,0.04729188480980135,10,
Out-of-Sample,Medoid 4,26,50,-149862.00000000012,6.331103678929765,-0.4510034053784044,18,
Out-of-Sample,Medoid 5,188,276,194469.99999999994,6.331103678929765,0.5856611204032944,0,
Full,Best,20,26,428675.9999999994,6.943915343915344,0.3458074952617384,114,17.0
Full,Medoid 1,22,34,224439.99999999997,6.943915343915344,0.180990463610752,81,17.0
Full,Medoid 2,234,250,336587.99999999994,6.943915343915344,0.27152291211562474,17,17.0
Full,Medoid 3,22,96,98012.00000000015,6.943915343915344,0.07905217361141756,27,17.0
Full,Medoid 4,26,50,-90591.99999999927,6.943915343915344,-0.07306528317952315,53,17.0
Full,Medoid 5,188,276,239123.99999999983,6.943915343915344,0.1928914597150665,11,17.0
