period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-03,2021-03-15,21,7.238050905411441,47262.5,7.238050905411441,47262.5,7.238050905411441,47262.5,7.238050905411441,47262.5,7.238050905411441,47262.5,7.24,7.24
2021-05,2021-05-15,42,-1.65594317392892,-18837.5,-1.65594317392892,-18837.5,-1.65594317392892,-18837.5,-1.65594317392892,-18837.5,-1.65594317392892,-18837.5,-1.66,-1.66
2021-07,2021-07-15,43,0.5971901422909925,6437.5,0.5971901422909925,6437.5,0.5971901422909925,6437.5,0.5971901422909925,6437.5,0.5971901422909925,6437.5,0.6,0.6
2021-09,2021-09-15,42,2.2036321343228464,21925.0,2.2036321343228464,21925.0,2.2036321343228464,21925.0,2.2036321343228464,21925.0,2.2036321343228464,21925.0,2.2,2.2
2021-11,2021-11-15,43,-0.05698775483874796,-712.5,-0.05698775483874796,-712.5,-0.05698775483874796,-712.5,-0.05698775483874796,-712.5,-0.05698775483874796,-712.5,-0.06,-0.06
2022-01,2022-01-15,39,1.2351086991913316,21270.0,2.753587869261242,46850.0,2.753587869261242,46850.0,2.753587869261242,46850.0,2.753587869261242,46850.0,1.24,2.75
2022-03,2022-03-15,43,1.9234662866563383,36187.5,1.9234662866563383,36187.5,1.9234662866563383,36187.5,1.9234662866563383,36187.5,1.9234662866563383,36187.5,1.92,1.92
2022-05,2022-05-15,42,-1.3924877313267898,-19250.0,-1.3924877313267898,-19250.0,-1.3924877313267898,-19250.0,-1.3924877313267898,-19250.0,-1.3924877313267896,-19250.0,-1.39,-1.39
2022-07,2022-07-15,43,-1.0618266901421043,-10962.5,-1.0618266901421043,-10962.5,-1.0618266901421043,-10962.5,-1.0618266901421043,-10962.5,-1.0618266901421043,-10962.5,-1.06,-1.06
2022-09,2022-09-15,42,0.7953353806891126,10250.0,0.7953353806891126,10250.0,0.7953353806891126,10250.0,0.7953353806891126,10250.0,0.7953353806891125,10250.0,0.8,0.8
2022-11,2022-11-15,42,-0.31611001979928366,-2960.0,-2.386684963538387,-22100.0,0.8157048062628183,7640.0,0.8489083599976648,7940.0,-0.24069059909263468,-2173.3333333333335,-0.32,-0.24
2023-01,2023-01-15,39,3.181194375929649,31175.0,1.232750683917709,12295.0,3.181194375929649,31175.0,3.181194375929649,31175.0,2.531713145259002,24881.666666666668,3.18,2.53
2023-03,2023-03-15,42,3.0255347237241557,30287.5,3.0255347237241557,30287.5,3.0255347237241557,30287.5,3.0255347237241557,30287.5,3.025534723724155,30287.5,3.03,3.03
2023-05,2023-05-15,43,-0.19479488761547828,-2625.0,-0.19479488761547828,-2625.0,-0.19479488761547828,-2625.0,-0.19479488761547828,-2625.0,-0.19479488761547828,-2625.0,-0.19,-0.19
2023-07,2023-07-15,43,0.8792513758861592,11312.5,0.8792513758861592,11312.5,0.8792513758861592,11312.5,0.8792513758861592,11312.5,0.8792513758861592,11312.5,0.88,0.88
2023-09,2023-09-15,42,1.7166622384209327,18662.5,1.7166622384209327,18662.5,1.7166622384209327,18662.5,1.7166622384209327,18662.5,1.716662238420933,18662.5,1.72,1.72
2023-11,2023-11-15,41,-1.6096655932526844,-18650.0,-1.6096655932526844,-18650.0,-1.6096655932526844,-18650.0,-1.6096655932526844,-18650.0,-1.6096655932526847,-18650.0,-1.61,-1.61
2024-01,2024-01-15,41,1.9537641477429708,19112.5,1.9537641477429708,19112.5,1.9537641477429708,19112.5,1.9537641477429708,19112.5,1.9537641477429706,19112.5,1.95,1.95
2024-03,2024-03-15,42,-0.3281295900744729,-3300.0,-0.3281295900744729,-3300.0,-0.3281295900744729,-3300.0,-0.3281295900744729,-3300.0,-0.3281295900744729,-3300.0,-0.33,-0.33
2024-05,2024-05-15,41,-2.1641082489167807,-24345.0,0.7871859910928782,8925.0,0.7871859910928782,8925.0,0.7871859910928782,8925.0,0.7871859910928783,8925.0,-2.16,0.79
2024-07,2024-07-15,44,1.7887610774184313,15895.0,1.9916285945727166,17675.0,1.9916285945727166,17675.0,1.9916285945727166,17675.0,1.9916285945727166,17675.0,1.79,1.99
2024-09,2024-09-15,43,-0.8385499772597786,-9575.0,-0.8385499772597786,-9575.0,-0.8385499772597786,-9575.0,-0.8385499772597786,-9575.0,-0.8385499772597788,-9575.0,-0.84,-0.84
2024-11,2024-11-15,41,-0.38760990056055356,-2705.0,2.2967040454485748,15850.0,2.2967040454485748,15850.0,2.2967040454485748,15850.0,2.2967040454485748,15850.0,-0.39,2.3
