Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,160,202,0.326872,14
2,238,256,0.322446,16
3,170,182,0.259523,32
4,270,292,0.18638,12
5,192,210,0.170486,24
6,188,190,0.1548,78
7,142,144,0.140605,96
8,124,204,0.131373,10
9,248,274,0.115792,12
10,94,152,0.036238,14
11,208,214,0.026653,38
12,102,128,0.019081,32
13,210,234,0.001889,14
14,126,144,-0.004037,30
15,94,186,-0.010318,14
16,276,278,-0.023203,40
17,134,140,-0.030763,56
18,42,286,-0.047417,10
19,14,48,-0.084547,74
20,152,164,-0.123061,32
21,34,234,-0.133401,16
22,136,188,-0.136329,16
23,22,276,-0.160579,20
24,48,260,-0.189863,10
25,72,136,-0.217793,22
26,60,186,-0.222049,16
27,124,170,-0.230454,18
28,60,222,-0.236257,14
29,84,92,-0.267001,71
30,44,172,-0.276523,18
31,22,198,-0.331874,22
32,18,24,-0.338968,132
33,14,232,-0.344559,24
34,72,102,-0.417554,39
35,98,100,-0.463447,135
36,42,136,-0.475075,22
37,14,272,-0.48755,24
38,22,166,-0.527114,24
39,40,48,-0.56417,84
40,14,132,-0.616841,36
41,30,38,-0.617738,104
42,22,62,-0.657883,60
43,28,90,-0.712787,46
44,44,90,-0.715646,42
45,46,70,-0.819437,56
46,26,122,-0.905661,32
47,50,60,-1.358735,84
