Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,178,182,468107.5,10.528025144054478,0.915269904124456,35,
In-Sample,Medoid 1,234,258,245647.5,10.528025144054478,0.337935,14,
In-Sample,Medoid 2,150,210,287777.5,10.528025144054478,0.284046,10,
In-Sample,Medoid 3,166,192,370817.5,10.528025144054478,0.234215,20,
In-Sample,Medoid 4,264,290,218982.5,10.528025144054478,0.217269,12,
In-Sample,Medoid 5,238,260,209927.5,10.528025144054478,0.201732,14,
Out-of-Sample,Best,178,182,84662.5,6.827814569536423,0.25290231877061903,22,
Out-of-Sample,Medoid 1,234,258,255567.5,6.827814569536423,0.7643480476236806,5,
Out-of-Sample,Medoid 2,150,210,233967.5,6.827814569536423,0.6995647372471102,3,
Out-of-Sample,Medoid 3,166,192,125267.5,6.827814569536423,0.374251065309021,6,
Out-of-Sample,Medoid 4,264,290,144612.5,6.827814569536423,0.4321109191140086,6,
Out-of-Sample,Medoid 5,238,260,239742.5,6.827814569536423,0.7168399936634215,5,
Full,Best,178,182,552770.0,9.094000641642605,0.6530287773440747,57,19.0
Full,Medoid 1,234,258,501215.0,9.094000641642605,0.5919827931394738,15,19.0
Full,Medoid 2,150,210,521745.0,9.094000641642605,0.616280532714699,11,19.0
Full,Medoid 3,166,192,496085.0,9.094000641642605,0.5858995765284597,21,19.0
Full,Medoid 4,264,290,363595.0,9.094000641642605,0.42931385566739527,13,19.0
Full,Medoid 5,238,260,449670.0,9.094000641642605,0.5309722873207022,15,19.0
