Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,188,190,622215.0,7.134693877551021,1.036576128432165,38,
In-Sample,Medoid 1,14,258,250084.0,7.134693877551021,0.591633,18,
In-Sample,Medoid 2,190,198,395236.0,7.134693877551021,0.582229,36,
In-Sample,Medoid 3,132,290,232253.0,7.134693877551021,0.578596,11,
In-Sample,Medoid 4,184,208,384355.0,7.134693877551021,0.561779,24,
In-Sample,Medoid 5,18,200,278486.0,7.134693877551021,0.548188,18,
Out-of-Sample,Best,188,190,51206.0,3.1880478087649404,0.12652294620667226,34,
Out-of-Sample,Medoid 1,14,258,72486.0,3.1880478087649404,0.17910436090344325,12,
Out-of-Sample,Medoid 2,190,198,70483.0,3.1880478087649404,0.1741565008439953,16,
Out-of-Sample,Medoid 3,132,290,63525.0,3.1880478087649404,0.1569623416588716,4,
Out-of-Sample,Medoid 4,184,208,58613.0,3.1880478087649404,0.1448258951152682,12,
Out-of-Sample,Medoid 5,18,200,106311.0,3.1880478087649404,0.26270309852802565,10,
Full,Best,188,190,673421.0,5.594090202177294,0.6695952964177182,72,13.0
Full,Medoid 1,14,258,322570.0,5.594090202177294,0.3205026290357566,20,13.0
Full,Medoid 2,190,198,465719.0,5.594090202177294,0.46284148131308994,38,13.0
Full,Medoid 3,132,290,295778.0,5.594090202177294,0.29388025090063336,12,13.0
Full,Medoid 4,184,208,442968.0,5.594090202177294,0.440219275843178,26,13.0
Full,Medoid 5,18,200,384797.0,5.594090202177294,0.38236425525216966,20,13.0
