Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,188,190,622215.0,7.134693877551021,1.036576128432165,38,
In-Sample,Medoid 1,184,284,346316.0,7.134693877551021,0.654599,11,
In-Sample,Medoid 2,186,198,484696.0,7.134693877551021,0.646658,32,
In-Sample,Medoid 3,178,212,415926.0,7.134693877551021,0.579511,20,
In-Sample,Medoid 4,14,242,220220.0,7.134693877551021,0.56385,20,
In-Sample,Medoid 5,14,278,222192.0,7.134693877551021,0.552356,21,
Out-of-Sample,Best,188,190,51206.0,3.1880478087649404,0.12652294620667226,34,
Out-of-Sample,Medoid 1,184,284,3486.0,3.1880478087649404,0.008613108043618272,4,
Out-of-Sample,Medoid 2,186,198,42137.0,3.1880478087649404,0.10411336446536683,18,
Out-of-Sample,Medoid 3,178,212,62032.0,3.1880478087649404,0.15327485227295853,12,
Out-of-Sample,Medoid 4,14,242,71156.0,3.1880478087649404,0.17581705718672969,12,
Out-of-Sample,Medoid 5,14,278,11472.0,3.1880478087649404,0.028344359523532973,14,
Full,Best,188,190,673421.0,5.594090202177294,0.6695952964177182,72,13.0
Full,Medoid 1,184,284,349802.0,5.594090202177294,0.34758267390899267,12,13.0
Full,Medoid 2,186,198,526833.0,5.594090202177294,0.5236533706892929,34,13.0
Full,Medoid 3,178,212,477958.0,5.594090202177294,0.4750223703818202,22,13.0
Full,Medoid 4,14,242,291376.0,5.594090202177294,0.28949695742309417,22,13.0
Full,Medoid 5,14,278,233664.0,5.594090202177294,0.23214431627522764,22,13.0
