Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,100,155,-104330128.0,1.0,-0.6865180484713671,17,
In-Sample,Medoid 1,100,175,-131070127.99999996,1.0,0.556216,18,
In-Sample,Medoid 2,10,175,-19630175.999999993,1.0,0.47506,36,
In-Sample,Medoid 3,110,145,-104470143.99999996,1.0,0.401848,27,
In-Sample,Medoid 4,145,165,-72370175.99999996,1.0,0.358055,26,
In-Sample,Medoid 5,95,215,-98370096.0,1.0,0.281938,12,
Out-of-Sample,Best,100,155,37549944.00000003,1.0,0.3951830254106461,7,
Out-of-Sample,Medoid 1,100,175,33349944.000000007,1.0,0.35095841773806113,7,
Out-of-Sample,Medoid 2,10,175,41569904.00000003,1.0,0.4375204844595945,12,
Out-of-Sample,Medoid 3,110,145,46949944.000000015,1.0,0.4941968348678506,7,
Out-of-Sample,Medoid 4,145,165,33409927.99999997,1.0,0.35158996934115117,9,
Out-of-Sample,Medoid 5,95,215,28969960.000000007,1.0,0.30484731504368934,5,
Full,Best,100,155,-66780183.99999994,1.0,-0.27018788179057757,24,1.0
Full,Medoid 1,100,175,-97720183.99999994,1.0,-0.3954343141115574,24,1.0
Full,Medoid 2,10,175,21939728.000000052,1.0,0.08875510879913581,35,1.0
Full,Medoid 3,110,145,-57520199.99999995,1.0,-0.23271394196841683,26,1.0
Full,Medoid 4,145,165,-38960247.99999998,1.0,-0.15761533396810634,32,1.0
Full,Medoid 5,95,215,-69400135.99999997,1.0,-0.2807912751615687,18,1.0
